album	artist	genre	score	author	date	link	genre_num
Nocturnes	William Basinski	Experimental	7.5	Nick Neyland	July 18 2013	https://pitchfork.com/reviews/albums/18282-william-basinski-nocturnes/	0
Worlds Apart	...And You Will Know Us by the Trail of Dead	Rock	4.0	Nick Sylvester	January 24 2005	https://pitchfork.com/reviews/albums/182-worlds-apart/	7
Sparkle Hard	Stephen Malkmus and the Jicks	Rock	8.0	Evan Rytlewski	May 18 2018	https://pitchfork.com/reviews/albums/stephen-malkmus-and-the-jicks-sparkle-hard/	7
Ghosts Outside	Steve Mason, Dennis Bovell	Electronic,Global	6.6	Andrew Gaerig	August 10 2011	https://pitchfork.com/reviews/albums/15704-ghosts-outside/	2
Extricate	The Fall	Rock	7.9	Joe Tangari	July 12 2007	https://pitchfork.com/reviews/albums/11905-extricateshift-workcode-selfish/	7
Master of Puppets	Metallica	Metal	10.0	Andy O'Connor	December 2 2017	https://pitchfork.com/reviews/albums/metallica-master-of-puppets/	8
Commonwealth	Sloan	Rock	6.9	Jamieson Cox	September 10 2014	https://pitchfork.com/reviews/albums/19754-sloan-commonwealth/	7
Raven in the Grave	The Raveonettes	Rock	5.7	Larry Fitzmaurice	April 8 2011	https://pitchfork.com/reviews/albums/15295-raven-in-the-grave/	7
I Stand Alone	Ramblin' Jack Elliott	Electronic,Folk/Country	8.0	Amanda Petrusich	January 2 2007	https://pitchfork.com/reviews/albums/9648-i-stand-alone/	2
Mr Twin Sister	Mr Twin Sister	Pop/R&B	8.1	Ian Cohen	September 16 2014	https://pitchfork.com/reviews/albums/19799-mr-twin-sister-mr-twin-sister/	3
Digital Garbage	Mudhoney	Rock	7.1	Stuart Berman	October 1 2018	https://pitchfork.com/reviews/albums/mudhoney-digital-garbage/	7
Seth Bogart	Seth Bogart	Pop/R&B	8.0	Jeremy Gordon	February 19 2016	https://pitchfork.com/reviews/albums/21557-seth-bogart/	3
The Singles, Vol. 8: 1972-1973	James Brown	Rock	8.4	Douglas Wolk	January 5 2010	https://pitchfork.com/reviews/albums/13774-the-singles-vol-8-1972-1973/	7
Daughter of Everything	Vertical Scratchers	nan	7.2	Stuart Berman	March 20 2014	https://pitchfork.com/reviews/albums/19127-vertical-scratchers-daughter-of-everything/	9
Hands Across the Void	Tiny Vipers	Experimental	7.4	Eric Harvey	September 5 2007	https://pitchfork.com/reviews/albums/10581-hands-across-the-void/	0
The Revolution EP	Retribution Gospel Choir	Rock	5.5	Paul Thompson	March 27 2012	https://pitchfork.com/reviews/albums/16430-revolution/	7
19	Kool A.D.	Rap	7.9	Carrie Battan	February 14 2013	https://pitchfork.com/reviews/albums/17750-kool-ad-19-63/	4
Vagabond Ways	Marianne Faithfull	Rock	4.7	Kristin Sage Rockermann	April 11 2000	https://pitchfork.com/reviews/albums/2959-vagabond-ways/	7
Dirty: Deluxe Edition	Sonic Youth	Rock	8.6	Scott Hreha	May 14 2003	https://pitchfork.com/reviews/albums/7345-dirty-deluxe-edition/	7
Speakerboxxx/The Love Below	OutKast	Rap	8.0	Brent DiCrescenzo	September 22 2003	https://pitchfork.com/reviews/albums/11796-speakerboxxxthe-love-below/	4
Bitchin Bajas	Bitchin Bajas	Experimental	7.5	Marc Masters	August 28 2014	https://pitchfork.com/reviews/albums/19615-bitchin-bajas-bitchin-bajas/	0
Fake Sugar	Beth Ditto	Rock	6.1	Laura Snapes	June 26 2017	https://pitchfork.com/reviews/albums/beth-ditto-fake-sugar/	7
WYWH	The Concretes	Rock	4.1	Matthew Perpetua	November 9 2010	https://pitchfork.com/reviews/albums/14832-wywh/	7
Cold Dark Place EP	Mastodon	Metal	7.0	Zoe Camp	September 25 2017	https://pitchfork.com/reviews/albums/mastodon-cold-dark-place-ep/	8
Hell Can Wait EP	Vince Staples	Rap	8.5	Craig Jenkins	October 14 2014	https://pitchfork.com/reviews/albums/19849-vince-staples-hell-can-wait-ep/	4
Thing	Trans Am	Metal,Rock	6.7	Joe Tangari	April 21 2010	https://pitchfork.com/reviews/albums/14116-thing/	8
World Waits	Jeremy Enigk	Rock	7.0	Joe Tangari	January 10 2007	https://pitchfork.com/reviews/albums/9741-world-waits/	7
Untethered Moon	Built to Spill	Rock	7.1	Jayson Greene	April 21 2015	https://pitchfork.com/reviews/albums/20362-untethered-moon/	7
Intuit	Ramona Falls	Rock	8.0	Joe Tangari	September 3 2009	https://pitchfork.com/reviews/albums/13418-intuit/	7
The New Toronto	Tory Lanez	Rap	3.9	Israel Daramola	January 21 2016	https://pitchfork.com/reviews/albums/21457-the-new-toronto-chixtape-3/	4
Man-Made	Teenage Fanclub	Rock	7.4	Joe Tangari	August 3 2005	https://pitchfork.com/reviews/albums/7957-man-made/	7
Claustrophobia	Scuba	Electronic	8.1	Philip Sherburne	March 26 2015	https://pitchfork.com/reviews/albums/20296-claustrophobia/	2
You Are Not Alone	Mavis Staples	Pop/R&B	8.2	Stephen M. Deusner	September 23 2010	https://pitchfork.com/reviews/albums/14666-you-are-not-alone/	3
Tauhid	Pharoah Sanders	Jazz	8.2	Daniel Martin-McCormick	November 10 2017	https://pitchfork.com/reviews/albums/pharoah-sanders-tauhidjewels-of-thoughtdeaf-dumb-blind-summun-bukmun-umyun/	5
Elsewhere	Ryan Hemsworth	Electronic	7.4	Mehan Jayasuriya	September 27 2018	https://pitchfork.com/reviews/albums/ryan-hemsworth-elsewhere/	2
Half Free	U.S. Girls	Pop/R&B	8.0	Stuart Berman	September 23 2015	https://pitchfork.com/reviews/albums/20978-half-free/	3
Rearrange Beds	An Horse	Rock	6.7	Matthew Solarski	March 27 2009	https://pitchfork.com/reviews/albums/12789-rearrange-beds/	7
Old Fashioned Love	John Fahey	Folk/Country	8.4	Andy Beta	June 2 2003	https://pitchfork.com/reviews/albums/2946-old-fashioned-love/	6
Ilimaq	Glenn Kotche, John Luther Adams	Experimental	7.7	Seth Colter Walls	November 12 2015	https://pitchfork.com/reviews/albums/21205-ilimaq/	0
Autumn Was a Lark	Portastatic	Experimental,Rock	7.3	Amanda Petrusich	October 26 2003	https://pitchfork.com/reviews/albums/6419-autumn-was-a-lark/	0
Trick	Kele	Electronic,Rock	6.0	Larry Fitzmaurice	October 16 2014	https://pitchfork.com/reviews/albums/19782-kele-trick/	2
Brazil 70: After Tropicália – New Directions in Brazilian Music in the 1970s	Various Artists	nan	8.9	Joe Tangari	December 11 2007	https://pitchfork.com/reviews/albums/10935-brazil-70-after-tropicalia-new-directions-in-brazilian-music-in-the-1970s/	9
Life in a Bubble Can Be Beautiful	Red Stars Theory	Rock	8.4	Steven Byrd	September 7 1999	https://pitchfork.com/reviews/albums/6725-life-in-a-bubble-can-be-beautiful/	7
Director's Cut	Kate Bush	Pop/R&B	7.3	Jess Harvell	May 19 2011	https://pitchfork.com/reviews/albums/15448-directors-cut/	3
Rest Proof Clockwork	Plaid	Electronic	8.4	Ryan Schreiber	June 21 1999	https://pitchfork.com/reviews/albums/6332-rest-proof-clockwork/	2
Three Men and a Baby	Mike and the Melvins	nan	7.0	Saby Reyes-Kulkarni	March 31 2016	https://pitchfork.com/reviews/albums/21538-three-men-and-a-baby/	9
Bringing Home the Last Great Strike	Pinetop Seven	Rock	8.9	Brent S. Sirota	September 5 2000	https://pitchfork.com/reviews/albums/6305-bringing-home-the-last-great-strike/	7
Can Cladders	The High Llamas	Rock	7.3	Eric Harvey	February 21 2007	https://pitchfork.com/reviews/albums/9887-can-cladders/	7
Bajas Fresh	Bitchin Bajas	Experimental	8.0	Marc Masters	November 20 2017	https://pitchfork.com/reviews/albums/bitchin-bajas-bajas-fresh/	0
Anthems for Doomed Youth	The Libertines	Rock	7.7	Laura Snapes	September 7 2015	https://pitchfork.com/reviews/albums/20881-anthems-for-doomed-youth/	7
Things We Lost in the Fire	Low	Rock	8.7	Ryan Schreiber	January 21 2001	https://pitchfork.com/reviews/albums/4892-things-we-lost-in-the-fire/	7
Evil Heat	Primal Scream	Rock	6.0	Alison Fields	September 4 2002	https://pitchfork.com/reviews/albums/6475-evil-heat/	7
Boys	Crocodiles	Rock	5.6	Pat Healy	May 15 2015	https://pitchfork.com/reviews/albums/20595-boys/	7
Wig Out at Jagbags	Stephen Malkmus and the Jicks	Rock	7.0	Mike Powell	January 7 2014	https://pitchfork.com/reviews/albums/18822-stephen-malkmus-and-the-jicks-wig-out-at-jagbags/	7
The Glad Fact	Dirty Projectors	Rock	8.5	William Bowers	January 5 2004	https://pitchfork.com/reviews/albums/2534-the-glad-fact/	7
Kamikaze	Eminem	Rap	5.0	Marc Hogan	September 6 2018	https://pitchfork.com/reviews/albums/eminem-kamikaze/	4
All That You Can't Leave Behind	U2	Rock	5.0	Brent DiCrescenzo	October 31 2000	https://pitchfork.com/reviews/albums/8329-all-that-you-cant-leave-behind/	7
Own Your Ghost	13 & God	Experimental,Rap	6.0	Brian Howe	May 17 2011	https://pitchfork.com/reviews/albums/15433-own-your-ghost/	0
Surprise	Paul Simon	Rock	5.1	Marc Hogan	May 10 2006	https://pitchfork.com/reviews/albums/7855-surprise/	7
Between the Times and the Tides	Lee Ranaldo	Experimental,Rock	5.2	Grayson Currin	March 21 2012	https://pitchfork.com/reviews/albums/16413-between-the-times-and-the-tides/	0
First Issue	Public Image Ltd	Rock	9.0	Stuart Berman	June 24 2013	https://pitchfork.com/reviews/albums/18200-public-image-ltd-first-issue/	7
Secret Agent	Tony Allen	Global	7.4	Joshua Klein	April 23 2010	https://pitchfork.com/reviews/albums/14168-secret-agent/	1
The Altogether	Orbital	Electronic	5.2	Christopher Dare	December 11 2001	https://pitchfork.com/reviews/albums/6032-the-altogether/	2
True Romance	Charli XCX	Pop/R&B	8.3	Marc Hogan	April 25 2013	https://pitchfork.com/reviews/albums/17880-charli-xcx-true-romance/	3
Friday Night	Will Butler	Rock	6.7	Stephen M. Deusner	June 20 2016	https://pitchfork.com/reviews/albums/22011-friday-night/	7
Head First	Goldfrapp	Pop/R&B	6.6	Marc Hogan	March 25 2010	https://pitchfork.com/reviews/albums/14063-head-first/	3
Vertikal	Cult of Luna	nan	6.8	Grayson Currin	February 11 2013	https://pitchfork.com/reviews/albums/17679-vertikal/	9
Listen to Formation, Look for the Signs	Nadia Reid	Folk/Country	7.2	Laura Snapes	December 8 2015	https://pitchfork.com/reviews/albums/21297-listen-to-formation-look-for-the-signs/	6
The Family Sign	Atmosphere	Rap	5.8	Nate Patrin	April 13 2011	https://pitchfork.com/reviews/albums/15297-the-family-sign/	4
3	Retribution Gospel Choir	Rock	7.5	Steven Hyden	January 15 2013	https://pitchfork.com/reviews/albums/17533-3/	7
TA	Trans Am	Metal,Rock	3.5	Mark Richard-San	April 30 2002	https://pitchfork.com/reviews/albums/8134-ta/	8
About a Boy	Badly Drawn Boy	Rock	4.9	Brad Haywood	August 13 2002	https://pitchfork.com/reviews/albums/528-about-a-boy/	7
The Exchange Session, Vol. 2	Kieran Hebden	Electronic	7.0	Alex Linhardt	June 7 2006	https://pitchfork.com/reviews/albums/9088-the-exchange-session-vol-2/	2
Centipede Hz	Animal Collective	Experimental	7.4	Stuart Berman	September 4 2012	https://pitchfork.com/reviews/albums/16980-centipede-hz/	0
The Year of Hibernation	Youth Lagoon	Rock	8.4	Mark Richardson	September 29 2011	https://pitchfork.com/reviews/albums/15873-the-year-of-hibernation/	7
Clean Hands Go Foul	Khanate	nan	7.6	Grayson Currin	July 30 2009	https://pitchfork.com/reviews/albums/13099-clean-hands-go-foul/	9
Always the Bridesmaid EP	The Decemberists	Rock	7.0	Joshua Love	December 1 2008	https://pitchfork.com/reviews/albums/12470-always-the-bridesmaid-ep/	7
Strangers/Swinging Doors and The Bottle Let Me Down	Merle Haggard	Folk/Country	8.8	Stephen M. Deusner	February 27 2006	https://pitchfork.com/reviews/albums/11752-strangersswinging-doors-and-the-bottle-let-me-down-im-a-lonesome-fugitivebranded-sing-me-back-homethe-legend-of-bonnie-and-clyde-mama-triedproud-of-what-i-am-hagsomeday-well-look-back/	6
Thank Your Lucky Stars	Beach House	Rock	8.1	Jayson Greene	October 16 2015	https://pitchfork.com/reviews/albums/21197-thank-your-lucky-stars/	7
Cold House	Hood	Rock	8.5	Nathan Rooney	January 9 2002	https://pitchfork.com/reviews/albums/3917-cold-house/	7
Taking Flight EP	Ryan Hemsworth, Lucas	Electronic	7.3	Mehan Jayasuriya	October 6 2015	https://pitchfork.com/reviews/albums/21082-taking-flight-ep/	2
Ocky Milk	Momus	Rock	6.0	Matt LeMay	March 16 2007	https://pitchfork.com/reviews/albums/9990-ocky-milk/	7
The Libertines	The Libertines	Rock	7.1	Eric Carr	August 30 2004	https://pitchfork.com/reviews/albums/4771-the-libertines/	7
A Cat May Look at a Queen	Franklin Bruno	Folk/Country,Pop/R&B	8.0	Nitsuh Abebe	November 14 2002	https://pitchfork.com/reviews/albums/980-a-cat-may-look-at-a-queen/	6
Acoustic Citsuoca EP	My Morning Jacket	Rock	7.5	Joe Tangari	July 22 2004	https://pitchfork.com/reviews/albums/5534-acoustic-citsuoca-ep/	7
Higher	Dâm-Funk, Steve Arrington	Pop/R&B,Rock	7.3	Nate Patrin	August 9 2013	https://pitchfork.com/reviews/albums/18350-dam-funk-steve-arrington-higher/	3
Villains	Queens of the Stone Age	Rock	6.9	Zoe Camp	August 28 2017	https://pitchfork.com/reviews/albums/queens-of-the-stone-age-villains/	7
I Don't Know Where I'm Going But I'm on My Way	Murry Hammond	Folk/Country	7.7	Stephen M. Deusner	February 20 2009	https://pitchfork.com/reviews/albums/12626-i-dont-know-where-im-going-but-im-on-my-way/	6
Record	Tracey Thorn	Pop/R&B	8.0	Laura Snapes	March 5 2018	https://pitchfork.com/reviews/albums/tracey-thorn-record/	3
Around the Sun	R.E.M.	Rock	5.2	Stephen M. Deusner	October 4 2004	https://pitchfork.com/reviews/albums/6752-around-the-sun/	7
The Black Sheep Boy Appendix EP	Okkervil River	Rock	8.2	Stephen M. Deusner	December 13 2005	https://pitchfork.com/reviews/albums/5964-the-black-sheep-boy-appendix-ep/	7
Static Age	Misfits	Metal	8.8	Maggie Serota	October 31 2017	https://pitchfork.com/reviews/albums/misfits-static-age/	8
Graduation	Kanye West	Rap	8.7	Mark Pytlik	September 11 2007	https://pitchfork.com/reviews/albums/10658-graduation/	4
Bosco and Jorge	Bosco and Jorge	Folk/Country	6.9	Jason Nickey	October 30 2001	https://pitchfork.com/reviews/albums/873-bosco-and-jorge/	6
Live 1969	Simon & Garfunkel	Rock	7.9	Stephen M. Deusner	March 31 2008	https://pitchfork.com/reviews/albums/11325-live-1969/	7
Come Feel Me Tremble	Paul Westerberg	Rock	6.7	Amanda Petrusich	February 5 2004	https://pitchfork.com/reviews/albums/11864-come-feel-me-tremble-dead-man-shake/	7
The Door Behind the Door	The Black Ryder	Rock	6.0	Mark Richardson	March 6 2015	https://pitchfork.com/reviews/albums/20234-the-door-behind-the-door/	7
Antenna to the Afterworld	Sonny and the Sunsets	Rock	7.7	Evan Minsker	June 21 2013	https://pitchfork.com/reviews/albums/18109-sonny-the-sunsets-antenna-to-the-afterworld/	7
Piece Work	Ewan Pearson	Electronic	8.2	Tim Finney	September 19 2007	https://pitchfork.com/reviews/albums/11909-piece-workfabric-35/	2
Angels & Ghosts	Dave Gahan, Soulsavers	Rock,Electronic	5.7	T. Cole Rachel	October 26 2015	https://pitchfork.com/reviews/albums/21119-angels-ghosts/	7
Alright, Still	Lily Allen	Pop/R&B	8.3	Mark Pytlik	July 18 2006	https://pitchfork.com/reviews/albums/9221-alright-still/	3
Yankee Hotel Foxtrot	Wilco	Rock	10.0	Brent S. Sirota	April 21 2002	https://pitchfork.com/reviews/albums/8676-yankee-hotel-foxtrot/	7
Hold on Now, Youngster...	Los Campesinos!	Rock	8.4	Marc Hogan	February 21 2008	https://pitchfork.com/reviews/albums/11179-hold-on-now-youngster/	7
Soul Sick	Sallie Ford	Folk/Country	7.1	Eric R. Danton	February 18 2017	https://pitchfork.com/reviews/albums/22846-soul-sick/	6
The Undisputed Truth	Brother Ali	Rap	6.6	Sam Chennault	April 9 2007	https://pitchfork.com/reviews/albums/10087-the-undisputed-truth/	4
The Lousy Dance	Simon Joyner	Rock	7.8	Steven Byrd	October 19 1999	https://pitchfork.com/reviews/albums/4305-the-lousy-dance/	7
...And Star Power	Foxygen	Rock	7.0	Stuart Berman	October 13 2014	https://pitchfork.com/reviews/albums/19769-foxygen-and-star-power/	7
Live at Jittery Joe's	Jeff Mangum	Rock	7.9	Matt LeMay	June 19 2001	https://pitchfork.com/reviews/albums/5070-live-at-jittery-joes/	7
Staring Into the Sun	Olivia Wyatt	nan	7.2	Nick Neyland	July 19 2011	https://pitchfork.com/reviews/albums/15636-staring-into-the-sun/	9
The Soft Wave	Arp	Electronic	7.9	Larry Fitzmaurice	September 9 2010	https://pitchfork.com/reviews/albums/14606-the-soft-wave/	2
Still Awake EP	Ryan Hemsworth	Electronic	7.9	Jonah Bromwich	June 6 2013	https://pitchfork.com/reviews/albums/18152-ryan-hemsworth-still-awake-ep/	2
Confection	Sébastien Tellier	Electronic,Rock	6.3	Miles Raymer	November 7 2013	https://pitchfork.com/reviews/albums/18714-sebastian-tellier-confection/	2
Yours to Keep	Albert Hammond Jr.	Rock	6.9	Marc Hogan	October 12 2006	https://pitchfork.com/reviews/albums/9509-yours-to-keep/	7
You Were Never Really Here (Original Motion Picture Soundtrack)	Jonny Greenwood	Experimental	7.8	Philip Sherburne	March 14 2018	https://pitchfork.com/reviews/albums/jonny-greenwood-you-were-never-really-here-original-motion-picture-soundtrack/	0
Yours Truly, The Commuter	Jason Lytle	Rock	7.4	Stephen M. Deusner	May 21 2009	https://pitchfork.com/reviews/albums/13037-yours-truly-the-commuter/	7
Medications EP	Medications	Metal,Rock	7.5	Joe Tangari	October 24 2004	https://pitchfork.com/reviews/albums/5610-medications-ep/	8
Mirrored	Battles	Rock	9.1	Jess Harvell	May 15 2007	https://pitchfork.com/reviews/albums/10225-mirrored/	7
Cloud Room, Glass Room	Pan American	Electronic,Rock	7.1	Nick Neyland	April 29 2013	https://pitchfork.com/reviews/albums/17945-pan-american-cloud-room-glass-room/	2
The Future and the Past	Natalie Prass	Rock	7.7	Olivia Horn 	June 7 2018	https://pitchfork.com/reviews/albums/natalie-prass-the-future-and-the-past/	7
Burst Apart	The Antlers	Experimental,Rock	8.2	Ian Cohen	May 12 2011	https://pitchfork.com/reviews/albums/15411-burst-apart/	0
Tales of Us	Goldfrapp	Pop/R&B	6.1	Andrew Ryce	September 12 2013	https://pitchfork.com/reviews/albums/18474-goldfrapp-tales-of-us/	3
For Octavio Paz	Six Organs of Admittance	Experimental	8.0	Johnny Loftus	June 20 2004	https://pitchfork.com/reviews/albums/7201-for-octavio-paz/	0
Elgin Avenue Breakdown Revisited	The 101'ers	Rock	7.0	Stephen M. Deusner	August 11 2005	https://pitchfork.com/reviews/albums/11834-elgin-avenue-breakdown-revisitedwalker-ost/	7
Nautical Antiques	Pinback	Rock	6.6	William Bowers	September 8 2006	https://pitchfork.com/reviews/albums/9394-nautical-antiques/	7
It's It's Remix Time Time EP	Todd Terje	Electronic	6.2	Abigail Garnett	June 18 2015	https://pitchfork.com/reviews/albums/20694-its-its-remix-time-time-ep/	2
Who's Gonna Save the World	Father's Children	nan	7.4	Joe Tangari	July 8 2011	https://pitchfork.com/reviews/albums/15619-whos-gonna-save-the-world/	9
Prophet	Ramona Falls	Rock	6.5	Paul Thompson	May 14 2012	https://pitchfork.com/reviews/albums/16610-prophet/	7
Victoria OST	Nils Frahm	Electronic	7.2	Jayson Greene	June 19 2015	https://pitchfork.com/reviews/albums/20671-victoria-ost/	2
Midnight Boom	The Kills	Electronic,Rock	6.8	Jason Crock	March 20 2008	https://pitchfork.com/reviews/albums/11302-midnight-boom/	2
Christs, Redeemers	The Body	Metal	7.0	Grayson Currin	October 15 2013	https://pitchfork.com/reviews/albums/18630-the-body-christs-redeemers/	8
Wilder Mind	Mumford & Sons	Rock	2.0	Maud Deitch	May 7 2015	https://pitchfork.com/reviews/albums/20421-wilder-mind/	7
Rubbed Out	Alexis Taylor	Electronic	6.7	Brian Howe	November 21 2008	https://pitchfork.com/reviews/albums/12460-rubbed-out/	2
Twin Peaks: Fire Walk With Me OST	Angelo Badalamenti	Experimental	8.4	Andy Beta	January 20 2017	https://pitchfork.com/reviews/albums/22787-twin-peaks-fire-walk-with-me-ost/	0
Commitment to Complications	Youth Code	Electronic,Metal	7.5	Andy O'Connor	April 13 2016	https://pitchfork.com/reviews/albums/21732-commitment-to-complications/	2
All the Waters of the Earth Turn to Blood	The Body	Metal	8.5	Grayson Currin	August 10 2010	https://pitchfork.com/reviews/albums/14512-all-the-waters-of-the-earth-turn-to-blood/	8
2002-2010	RJD2	Electronic	8.2	Nate Patrin	November 20 2009	https://pitchfork.com/reviews/albums/13631-2002-2010/	2
Anthology 1997-98	Faraquet	Metal,Rock	6.3	Andrew Gaerig	February 13 2009	https://pitchfork.com/reviews/albums/12665-anthology-1997-98/	8
Paradise	Slow Club	Rock	7.8	Matthew Perpetua	September 16 2011	https://pitchfork.com/reviews/albums/15823-paradise/	7
Wild Flag	Wild Flag	Experimental,Rock	8.0	Stuart Berman	September 14 2011	https://pitchfork.com/reviews/albums/15798-wild-flag/	0
Comedown Machine	The Strokes	Rock	6.1	Ian Cohen	March 25 2013	https://pitchfork.com/reviews/albums/17788-the-strokes-comedown-machine/	7
Yes	Pet Shop Boys	Electronic	4.9	Douglas Wolk	April 23 2009	https://pitchfork.com/reviews/albums/12950-yes/	2
Dept. of Disappearance	Jason Lytle	Rock	5.9	Stephen M. Deusner	October 18 2012	https://pitchfork.com/reviews/albums/17178-dept-of-disappearance/	7
Sadly, the Future Is No Longer What It Once Was	Leyland Kirby	Electronic,Rock	6.8	Mike Powell	February 4 2010	https://pitchfork.com/reviews/albums/13891-sadly-the-future-is-no-longer-what-it-once-was/	2
All Request Live	Ween	Experimental,Rock	7.7	Dan Miron	February 3 2004	https://pitchfork.com/reviews/albums/8609-all-request-live/	0
Mule Variations	Tom Waits	Rock	9.5	Zach Hooker	April 27 1999	https://pitchfork.com/reviews/albums/8562-mule-variations/	7
Double Dream of Spring	Deerhunter	Rock	7.2	Marc Hogan	May 24 2018	https://pitchfork.com/reviews/albums/deerhunter-double-dream-of-spring/	7
Hands of Glory	Andrew Bird	Rock	7.3	Stephen M. Deusner	November 1 2012	https://pitchfork.com/reviews/albums/17209-hands-of-glory/	7
Jesus Piece	The Game	Rap	6.0	Jayson Greene	December 12 2012	https://pitchfork.com/reviews/albums/17469-jesus-piece/	4
An Act of Love	Earthen Sea	Electronic	8.1	Andy Beta	February 21 2017	https://pitchfork.com/reviews/albums/22896-earthen-sea-an-act-of-love/	2
The Day Is My Enemy	The Prodigy	Electronic	6.0	Philip Sherburne	March 30 2015	https://pitchfork.com/reviews/albums/20360-the-day-is-my-enemy/	2
Acoustic / Rock 'n' Roll	John Lennon	Rock	7.1	Marc Hogan	November 9 2004	https://pitchfork.com/reviews/albums/4732-acoustic-rock-n-roll/	7
Woman	Justice	Electronic	5.2	Mehan Jayasuriya	November 29 2016	https://pitchfork.com/reviews/albums/22644-woman/	2
Tumble Bee	Laura Veirs	Rock	7.5	Joshua Love	December 6 2011	https://pitchfork.com/reviews/albums/16105-tumble-bee/	7
The Frequency	The Frequency	Jazz,Pop/R&B,Rap	6.9	Joe Tangari	November 18 2004	https://pitchfork.com/reviews/albums/3329-the-frequency/	5
All This Sounds Gas	Preston School of Industry	Rock	5.3	Ryan Schreiber	August 28 2001	https://pitchfork.com/reviews/albums/6462-all-this-sounds-gas/	7
Music From The O.C. Mix 4	Various Artists	nan	5.3	Rob Mitchum	April 12 2005	https://pitchfork.com/reviews/albums/7893-music-from-the-oc-mix-4/	9
Dreamt for Light Years in the Belly of a Mountain	Sparklehorse	Rock	8.3	Stephen M. Deusner	September 27 2006	https://pitchfork.com/reviews/albums/9445-dreamt-for-light-years-in-the-belly-of-a-mountain/	7
Live in Japan	The Microphones	Experimental,Rock	6.1	Sam Ubl	February 26 2004	https://pitchfork.com/reviews/albums/5272-live-in-japan/	0
Magic & Medicine	The Coral	Electronic,Rock	6.7	Neil Robertson	February 29 2004	https://pitchfork.com/reviews/albums/11703-magic-medicine-nightfreak-and-the-sons-of-becker/	2
Us	Brother Ali	Rap	7.8	Nate Patrin	September 24 2009	https://pitchfork.com/reviews/albums/13475-us/	4
Up to Now	Snow Patrol	Rock	5.1	Tom Breihan	November 20 2009	https://pitchfork.com/reviews/albums/13693-up-to-now/	7
Break Line the Musical	Anand Wilder	nan	3.8	Larry Fitzmaurice	July 17 2014	https://pitchfork.com/reviews/albums/19644-anand-wilder-break-line-the-musical/	9
Yeah So	Slow Club	Rock	7.4	Matthew Perpetua	March 1 2010	https://pitchfork.com/reviews/albums/13975-yeah-so/	7
Axis and Alignment	Chicago Underground Duo	nan	7.5	David M. Pecoraro	March 18 2002	https://pitchfork.com/reviews/albums/1438-axis-and-alignment/	9
Last Words	Ryan Hemsworth	Electronic	7.7	Jonah Bromwich	September 6 2012	https://pitchfork.com/reviews/albums/17138-last-words/	2
Tribute To 2	Jim James	Rock	6.2	Calum Marsh	December 14 2017	https://pitchfork.com/reviews/albums/jim-james-tribute-to-2/	7
Monsieur Gainsbourg Revisited	Various Artists	nan	5.4	Jess Harvell	April 27 2006	https://pitchfork.com/reviews/albums/3692-monsieur-gainsbourg-revisited/	9
Heroes to Zeros	The Beta Band	Rock	6.9	Matt LeMay	May 6 2004	https://pitchfork.com/reviews/albums/671-heroes-to-zeros/	7
Life on Earth	Tiny Vipers	Experimental	7.8	Matthew Solarski	July 8 2009	https://pitchfork.com/reviews/albums/13178-life-on-earth/	0
The Trial of St-Orange	Shalabi Effect	Rock	9.4	David M. Pecoraro	February 26 2002	https://pitchfork.com/reviews/albums/7089-the-trial-of-st-orange/	7
Down by the Racetrack EP	Guided by Voices	Rock	7.0	Steven Hyden	January 30 2013	https://pitchfork.com/reviews/albums/17555-down-by-the-racetrack-ep/	7
Feel Good	The Internet	Pop/R&B	6.4	Renato Pagnani	September 24 2013	https://pitchfork.com/reviews/albums/18567-the-internet-feel-good/	3
Day & Age	The Killers	Rock	5.9	Ryan Dombal	December 5 2008	https://pitchfork.com/reviews/albums/12505-day-age/	7
Transistor Radio	M. Ward	Rock	8.2	Joe Tangari	February 17 2005	https://pitchfork.com/reviews/albums/8581-transistor-radio/	7
From the Great American Songbook	Tom Carter and Christian Kiefer	Rock	8.5	Grayson Currin	September 3 2008	https://pitchfork.com/reviews/albums/12143-from-the-great-american-songbook/	7
The Floodlight Collective	Lotus Plaza	Experimental,Rock	6.8	Marc Hogan	March 20 2009	https://pitchfork.com/reviews/albums/12844-the-floodlight-collective/	0
Love Has Made Me Stronger	Carol Kleyn	nan	7.8	Stephen M. Deusner	August 10 2011	https://pitchfork.com/reviews/albums/15659-love-has-made-me-stronger/	9
BBF Hosted by DJ Escrow	Babyfather	Electronic	6.0	Kevin Lozano	March 25 2016	https://pitchfork.com/reviews/albums/21702-bbf-hosted-by-dj-escrow/	2
Base World, Pt. 1	Lil B	Rap	7.0	Joe Colly	July 1 2010	https://pitchfork.com/reviews/albums/14418-base-world-pt-1/	4
Through the Wilderness: A Tribute to Madonna	Various Artists	nan	7.0	Stephen M. Deusner	November 30 2007	https://pitchfork.com/reviews/albums/10931-through-the-wilderness-a-tribute-to-madonna/	9
High Water	El-P	Rap	7.2	David Moore	October 31 2004	https://pitchfork.com/reviews/albums/11729-high-water-markcollecting-the-kid/	4
Heligoland	Massive Attack	Electronic	5.0	Nate Patrin	February 9 2010	https://pitchfork.com/reviews/albums/13864-heligoland/	2
5 Songs EP	The Decemberists	Rock	7.3	Matt LeMay	May 19 2003	https://pitchfork.com/reviews/albums/2240-5-songs-ep/	7
